ReviewTitle,ReviewBody,Sentiment
"Great build quality, low on bass, good sound details.
","Headphones are not bass heavy. A little too low for my liking. They seem good for vocals and watching videos. Not noise canceling but filters most sounds on the go. Details are good compared to similar priced earphones. Build quality is exceptional.
",Positive
"Good all rounder headphones
","Serves the purpose. Wanted something which is an all rounder and the CX275 s fits the bill perfectly. Call clarity is good and the mic does its job well. For prolonged usage, i suggest changing the in ear buds to the smaller one (different sized buds come along with this model) as the ones from factory were slightly bigger than required for me.
",Positive
"AWESOME PRODUCT, USING THIS FROM PAST 2 YEARS.
","I am using this earphone from past 2 years, still it works properly with awesome sound and great bass. I use this earphone mainly for gaming. I can also recognise the sorounding sounds in the game.
",Positive
"Excellent Headphone ever..
","Value for money. Excellent Headphone ever. I am regular user of Sony. But Sennheiser CX 275 S In -Ear Universal Mobile Headphone With Mic (Black) is excellent. Clear beat of music. Every beat is awesome. Sennheiser better than Sony. Go for it.
",Positive
"Worst headphone, worst customer service. DO NOT BUY THE PRODUCT!!!
","Worst headphone ever, used it for 4 months and it broke, voice quality loud but not clear. No customer support from the manufacturer (wrong no:s & email id provided, u can never reach them) or Amazon (cannot do anything, hopeless). DO NOT BUY THIS PRODUCT !!!
",Negative
"WIRE QUALITY SHOULD BE GOOD AT THIS PRICE POINT
","Frist important is cable quality that is the only thing that I am disappointing at this price point it is necessary to give the quality at this pointWhen i was buying this product it is mentioned the cable is intangible but it not WTF
",Positive
"The sound quality is really good but be warned that once you put these in
","The sound quality is really good but be warned that once you put these in, you will block out all external sound. Probably not the best thing in all situations.
",Negative
"Good for moc functionality
","Pretty bad product. I have replaced it 4 times in 8 months. Free replacement though on producing the bill at the service center.
",Neutral
"Go For it and Enjoy the Music!!!
","Excellent. Perfect sound. Perfect balance between basa and treble. Way better than Skullcandy Smoking Bud 2. Used it for one year and still working perfectly. Very Nice. A quality product from Sennheiser. Comes with Mic which is great for picking up calls. So overall a Very Good Earphone.
",Positive
"I paid extra amount
","Hi, I have been using I phone head phone, This headphone is more than Iphone and very compact and good for Webex calling...clear audio in both side.
",Neutral
"Satisfied customer. Highly recommend buying this entry level earphones.
","Satisfied customer. These are good entry level earphones. Not that costly as well. Its excellent on all fronts sound quality, ear-plugs are provided as well (extra that is). Mic is also included. Awesome sound quality. Couldn't have asked for more for this price.
",Positive
"Left earpiece stopped working twice.
","Left ear piece stopped working. Got it replaced and still the same. Complete waste of money. Please look for something else.
",Neutral
"Great but costly..
","this earphone is great except for you can purchase this quality in lesser price with other brands like jbl...but the mic is really fantastic and you get the volume rocker in the set...
",Positive
"You may or may not like it
","This is not as good a feeling of other stuff sennheiser makes. It's very thin in feel and the quality of sound is not satisfactory for me as I tried Bose, jbl, and soundpeaks. I recommend other earphones (not the head phones).
",Neutral
"Sound quality is superbly awesome.
","Sound is clear and better than any mobile headphones. Only thing I miss in this product is sound control. You have to do this with mobile or tab manually. It only have call pick and drop option. Best feature is sound quality is superb and awesome.
",Positive
"Clear Audio but not for bass lover
","Nice audio clearity balance sound but bass is bit low. Good durability not great and wire is long enough. Bass is even lower than CX 180 so if you are a bass lover buy CX 180 at lower price (rs 800) . Guys I'm not saying that cx 180 is better than this CX 275 has crystal clear sound quality.Mic 8/10Treble 9/10Base 7/10Noise isolation 7/10Overall I'll give 4 star there is no reason to give 5 star
",Neutral
"absolutely love this pair of ear buds
","absolutely love this pair of ear buds. i needed something for my casual listening purpose while travelling, being on a budget these provided a great solution to that. at 1425 i couldn't have asked for a better deal. the best part is they are balanced, unlike most headphones on the market today that are just infused with meaningless bass. Don't get me wrong, these deliver amazing bass as well, but it's all controlled and the way it's supposed to be. amazing sound spectrum and clarity. anything for casual listening and beyond, go for it!
",Positive
"Warranty
","How to claim warranty for this product?
",Neutral
"Decent Enough..Works for me
","Decent earphones. Worth the price.1. Call cut button works just fine2. The same button, double tap to move to next track while listening to songs.3. Triple tap to move back to the previous track doesn't work. This worked with my Sony stock earphones.4. Sound quality is good.Although these features don't work when u use the extension that comes along with this. I'm not sure why the extension is required.If you are looking for a decent set of earphones this one is the right one for you. If u are an ardent listener and a music fanatic there may be other better options out there for you.
",Positive
"Simply one of the best of this range
","Well, I have used a lot many earphones over the years starting from Philips, Sony to Skullcandy etc etc of multiple ranges, be it below 500 or above 1500. But this particular product from Sennheiser has just upped my listening to music experience by miles. Simply one of the best of this range, and as an overall product also beats Sony and Skullcandy at its range. The music, the beats, the overall everything associated with a particular song feels even more vibrant now. I would suggest everyone and anyone looking forward to a decent earphone....go for this one. Absolutely worth it.
",Positive
"Good sound but not excellent
","The sound quality is not excellent but good i would say, i opted it because of it's mic. I think its sound quality equals to the samsung's original note 2 headphones. Not good for bass lovers, i am not bass lover so i am OK with it. Build quality is not that great as compare it to its price tag, very fragile item. I guess cx180 might suffice my requirement which is Rs.500 cheap than this.
",Negative
"Best in this price range... For sound quality
","Built quality is pretty poor... But sound quality is best in this range... Not for bass lovers... It has v shape sound signature so it will have pure sound... I used it for 2 years... & Again after a long search for a upgrade I cannot find the better earphone so bought these...
",Neutral
"upgraded from CX213 and I'm loving it. Grea sound ...
","upgraded from CX213 and I'm loving it. Grea sound quality even at high volume and the inbuilt mic is icing on the cake. If you want to upgrade from CX213, go for it.
",Positive
"MIND-BLOWN
","Let me be very honest, I ordered the product on Saturday night around 8:15 PM or so and received next day by 2:30 PM. The earphones are mind-blowingly amazing, far better than many headsets available at 2k-4k. Sennheiser did an amazing job with each and every bit of the headsets. The ear cushions are very soft therefore you can wear those for many hours, coming to the sound quality the bass output is top notch. I recommend without giving a second thought go and buy it now!!!
",Positive
"Review from a Musician. Oneplus One + sennheiser CX 275s = Life.
","If you're a Bass freak like me then you'll definitely love this. I'm using it with my oneplus one and definitely having a great time listening to GnR, Metallica, AC-DC, John Mayor, Keith Urban, Fossils, The Missing Link, Fakira etc. (not a Bollywood fan at all). Noise cancellation is very good. Anyways, the build is fragile though. It looks awesome. The leather pouch comes along is a life  saver. It takes calls and does it efficiently. Much better than many expensive butt caps available in the market today. Recommended to everyone. Thank me later.
",Positive
"Best earphone in this price range.
","*Advantages:--Better sound quality-Ear fit design-Stylish*Disadvantages:--Feels like cheap quality wire (but it actually is good)-The mic was loose and was not fit inside the socket.-Mic quality is not very good.
",Negative
"Absolutely worth it!
","These earphones are literally the BEST! I've tried Skull candy , JBL etc earphones but this is best among all . You can blindly go for it. This is the first time I bought Sennheiser and it didn't disappoint me. The Clarity is Soo good, even the BASS is Awesome you can set your equalizer too to enjoy more bass if youre a bass lover (like me) . Overall it's a GOOD DEAL.
",Positive
"THREE 5*😘😘😘
","5* for the product,5* for the quality,5* for the best delivery, i got my product in 2 days time,well that's awesome.About headset,it's terrific one i ever bought. I regret buying low class headsets.Great bass,good at noise reduction,detailed audio experience.Finally worth the money i spend and hope it lasts long.
",Positive
"Value for money but.....
","Sound quality is awesome....Durability is good....But one thing....one  ""L""  shape extension cable is provided which doesn't work....I have purchased this earphone 2nd time but still it has same problem....Just be carefully for its jack....These earphones are really awesome....
",Positive
"Crisp & clear sound
","Sound quality is just brilliant, you can't ask for more crisp and clear sound in earphones under ₹2-3k, you can use them for a long time but the wire is somewhat fragile as it seems thought touchwood anything bad hasn't happened with my earphones so far
",Neutral
"Great Sound Quality, adequate bass.
","Excellent Pairs for Music with great clarity and adequate bass response. Not for Bass heads. Wire quality is not durable to wear and tear for every day heavy use on long term.Wire tangle easily if not kept organized.
",Positive
"Not best I have jbl t150 a before this and they ...
","Not bestI have jbl t150 a before this and they are Lil better than this. I have Xperia device on which I have tried Sony xb 55ap, jbl 150 and cx 275s. Xb55 ap have good bass and music quality is very good upto 80 percent of volume. Sony is better than jbl and cx275s. Driver size really matters but it is bulky and starts hurting if used for too long
",Neutral
"Superbbbbbbbbbb sound quality!!!!!!! 👌👌👌👌
","Best of the best sound quality but slightly dissapointed with the material quality but overall a great deal....  if you wanna hear the every beat of music then blindly go for it... far better than JBL, Sony, Skullcandy, Boat, etc,. ""Sennheiser"" Name is enough!!!!
",Positive
"Worth money
","Awesome sound quality. You can feel the audio crystal clear with amazing effects and I love it. It's much better than Jbl T series. Control & mic works good.
",Positive
"The best sound output
","Within this price range the best sound output it produces and of course the build quality is not that much good as it can be broken with a minimal rough usage, which is already happened in my case.
",Neutral
"Perfect & Worthy
","Really speaking for 5 years, I have used Skullcandy, Soundmagic, JBL, Motorola & Philips from the range of 700-2500 but I guarantee this one is the best among all of them under that range. Don't think anything else & just go for it. Super Noise cancellation with extra bass.
",Positive
"Value for money and timely delivery from Amazon - Sennheiser CX275 s Universal Mobile Headset (Black)
","Love the clarity of the Headset. If equalizers are adjusted it will give a dynamic sound and will not miss the crystal sound of the set.It blocks the out side sounds and use carefully while driving (especially riding a bike).Value for money and timely delivery from Amazon.
",Positive
"Good but not best ,,
","Excess base ,,equiliser don't effect much at full volume due to heavy bass.i hade jbl and Sony before this and even one senhiser also of low cost but pretty good sound.this one is also good, but not at all up to the mark.
",Positive
"Recommend not to buy
","Worst ever earphones can’t hear songs with high sound and can’t talk on phone using them ears will be damaged worst bass quality recommend not to buy
",Negative
"Go for it
","Good product but it gives better sound quality on vivo phones than my one plus 6. I have uswd sony befire but in aony basswas too much and become annoying after some usage. But this earphone is balanced and low voices areeasilu audible which were not on sony.
",Neutral
"Nice earphones
","Nice sound quality and the mike is handy for long calls. Noise cancellation is good because of which you can listen to music at lower volume even in a crowded train or bus. This prevents hearing damage.
",Neutral
"Amazon duplicate earfone sell kr raha he so dont buy on Amazon..
","Amazon gives me a duplicate earphones.My Sennheiser earfone which bought from shops still working..But the amazon Sennheiser earfone after 2  months the right side of earfone stop working ...Sennheiser ka pahele wala earfone 3 sal se chal raha he jo shop se liya tha ..Amazon 420 kr raha hai...
",Neutral
"Top quality , Little bit  Expensive
","Yeah ! It has high quality sound . But the price is little bit high . I like sennheiser that's why i bought this for 1400 While you can go for one more piston for same quality sound and a affordable price of nearly 1k . Even if you buy this , It will be a good experience .
",Positive
"Worth the price
","The product is having pretty good sound quality, it comes with a connector for adjusting to some phones, in my case I had to use that connector to Nokia 206 for the proper connection. Otherwise it fits in the 3.5mm jack. Good quality, along with mic.
",Positive
"100% value for money.
","First of all thanks to safe transport but the time took for delivery is little bit disappointed me,but its Okay.The product comes with 2 set of ear buds,one for vocal clarity and other for bass effect.Am totally satisfied with its performance with this price range also the mic was awesome,the clarity of the mic is appreciable.The only -ve i saw,it has no volume control.otherwise its 100% value for money.
",Positive
"Amazing Product. A Must Buy
","Awesome Product. I use it with my Lenovo K3 Note and it works like beauty. No missing beats. Good Bass and the balance between treble and bass is just awesome.Update after 10 months: these are still working awesome without any problem. The bass is awesome for any type of song. Calling quality is great as well. A must buy
",Positive
"Balanced Bass with clear sound
","I've been using these earphones for 1 year now. Awesome quality. I didn't face any problem with it. If you like Balanced bass with clear sound just go for it
",Positive
"ADDICTED....
","These earphones may be best in their price segment.These earphones may not be appealing to you into the first time....as it happened with me...but after some after a day or two they feel real awesome...Great BassGreat Sound ClarityYou may fail the authenticity test....as I did..though....my were original...so don't panic... Send them a mail with the required info they ask you...and you will get it authenticated.
",Positive
"Pure & detailed SOUND
","I have 3 different earphones of Sennheiser, CX180 Street II, CX275 & Now CX2.00G,Sennheiser has excellent build quality and of course no doubt about its sound, it has balanced bass with clear treble.
",Positive
"One of the best earbuds for this price
","One of the best earbuds for this price!! The clarity is amazing, the bass is good. What more can you ask for! The only negative I feel is that the wires could have been a little thicker and sturdier..not that it will snap just like that..but still!! An excellent buy!!
",Positive
"Good quality earphone
","I have been using this product for a year now. This is one of the best earphones I have used. Sould quality is very good. If not handled properly, the wires can get entangled. The material quality looks good and the product looks durable
",Positive
"Overall nice product
","Wanted a nice earphone with mic. After searching for days , finally decided to buy this.As, till now its been only 2 weeks and experiecne is fine. Cost with mic is a bit high , more than double , as without mic price was 700 approx.Overall sound quality : awesome ( i previously had samsung earphone and sennisser headphone, hence comparing it form my previous earphone)
",Positive
"Go for it ,if you'll be not using it roughly
","I own this one & sony xb55ap.Sound quality & base are excellent.Plus point over xb55ap is it's comfortable fit.very lightweight & you can use it for longer time without any problem.Build quality can be improved.Go for it, if you are not a rough user
",Positive
"Good quality Earpiece
","The Sennheiser CX 275 S has a straightforward design. The rubber buds are soft and comfy to wear. It has noise cancellation feature which is pretty good and a minimal design. It has a good bass and treble range. Overall sound clarity is above average and it is tailored for a bass heavy experience. If you require a fair clarity and awesome bass featured headpiece, definitely go for it.
",Positive
"Worth the money
","Really good earbuds. What i like more about these is the directional separation of different sounds which is really good for immersion. And bass is okay too.. And these get really loud. At the maximum sound there is apparent distortion but trust me you aren't going to get volume that high since is really loud..
",Positive
"Jbl etc But this is the best I personally feel coz if someone a bass lover ...
","I have used a lot of ear pods beats, Sony , Jbl etcBut this is the best I personally feel coz if someone a bass lover and clarity this one's the ultimate. Its tiny but when you push em in ur ears it blocks outside world and then it begins. The microphone is also very clear.Con: The microphone dsnt have a noise cancellation
",Positive
"The headset Quality is good. Amazon delivery is also good
","The headset Quality is good. Amazon delivery is also good. Rating wise 3star for headset and +1 star for fast delivery. Sound quality is good but not a worth for 1791/- Rs .. People if u need a headset just to hear music , then you can go for Senheiser street ll.. Both are having the almost 95% same sound quality. But if u need a headset with mic then u can go for this option .. Rest is all fine with this headset!!! Hope this review help someone
",Positive
"What senheiser claims it is unavailable to deliver
","Within 2 week the right earphone stopped working. Absolutely unhappy. Now I have been asked to reach senheisers toll free to claim warranty. Once the product delivered and such issues happen after turn time Amazon will deal like this with you and you keep wandering with these other vendors.
",Neutral
"Good audio, but delicate build
","I have been using this headset for the past 1 year and I should definitely say that the audio quality is very good. The only minus in this product is that its wires are so delicate. You have to handle this headset very carefully. This headset is not suitable for rough usage.
",Positive
"Problem with cord pin
","Sound quality is as expected. But every time the earphone is plugged in, my phone starts acting crazy. The Google Assistant is activated, volume increases automatically, it's really annoying!! After doing some research, I found that the issue is with the cord pin. Disappointed with the product
",Negative
"The Best earphones in the house
","You won't find any other. It's the best earphones you could get in this amount.I am giving the review for this product after 6 monthsGood quality Good sound Great for music lovers.
",Positive
"and am most disappointed about this product failure in just a few months
","Started sputtering and giving strange ticking noises. I use these exclusively for work, and am most disappointed about this product failure in just a few months.
",Negative
"... search i finally ordered this product which was simply amazing. i loved it a lot and will surely ...
","After a lot of search i finally ordered this product which was simply amazing. i loved it a lot and will surely recommend it to anybody who wants hear a good quality of music.
",Positive
"Improve the quality
","Now hating Sennheiser for lowering the quality of this model. ANow Sennheiser Cx275s is equivalent to the Sennheiser Cx180 that doesn't comes with a mic. And they are charging 800 bucks more for just a mic. Actually i was Cx275s user and the sound quality was very very good before but now its lowered down.
",Neutral
"A must buy earphone.
","This is the third time I'm buying this same earphones, I so love the brand. Anyday better than Sony. The best earphones for sound clarity, bass and treble. Long lasting. Definitely buy this guys you so won't regret it , it's perfect in all sense. Good for the ear too, perfect size and weight.
",Positive
"I am enjoying lot
","As I was reading everyone review and it is as expected and even better. After reading all review I thought bass will not that great but I feel bass is also enough so I feel I got the great product and I am very happy with this.
",Positive
"best buy for long time music listener
","I got original product, verified by QR code.Its worth for 5 star bt i gave it 4.Good earphone if bought under 1.4kSound quality is very goodStereotype functioning goodBass is good than cx180 but not good then jbl t200ANoise isolation is superbCons :Low hissing sound appears in no music time due to noise cancellation system.Design of ear phone produce air contact noiseWhen contac in air flow during running or walking
",Negative
"the left speaker gone bad, i tried to reach the amazon
","i used for 6 months , but , the left speaker gone bad, i tried to reach the amazon , guys, their , services are superb ,they replaced me with a new one , but used for another 2 months , the same problem happened , again.The problem is the speaker which attached to the mic will be having high probability of going bad effect , and even lower sound ,, soI bought the Sennheiser CX 180 Street II, it works awesome...
",Negative
"Good while it lasts
","The headphone is good while it lasts. In my case, one side the headphone no longer works , just 4 months after purchase. Not sure if there is a warranty and how to invoke it.
",Neutral
"Poor quality!
","Got cx 275s instead of cx 180 because cx 275s has microphone!But the microphone itself stopped working after 2 months.Video/song pauses and starts by itself when the wire is disturbed even slightly.Song quality is super tho.Expected more from thin wire, my fault? Not.
",Neutral
"Good Sound Quality but too much care needed
","The sound quality is amazing however you will feel pretty less bass. The wires are too thin just like thread and have to be handled with a lot of care. In this price it's not worth the money. In this the sound quality comes with extra care.
",Positive
"Great design and well planned product
","This is the best product for music lovers !! and I use it for laptop for vedio calling. it works great !!Angular adapter is very much useful to have the wire safe from breaking in log run while connecting headset with laptop.pouch is very helpful in keep the headset safe from breaking while carrying in laptop bag.All together it is well planned considering the minute details and giving the sound quality the best !! great product all together..GirishBangalore
",Positive
"Must Buy for music lovers!!!
","great product at such an amazing price... now you can talk as well as listen to your favorite music on the go... without any hassles.. sound clarity is impeccable... you would venture into a different world of music after wearing this headphone.... do buy it if you're a music buff
",Positive
"Good headphone
","I love this brand. I'm hooked to it. Great sound quality, no matter what kind of music you like. I tried Rock, Jazz, Old Hindi movie songs, Ghazal and even watched movie. Great experience always. Recommend it.
",Positive
"... months now and I must say it is really good or perhaps Gr8
","I've been using this for more than 6 months now and I must say it is really good or perhaps Gr8.Noise Cancellation – 4/5Comfort – 5/5Quality – 4.5/5Bass – 3/5Treble – 4.5/5Overall all I'd say this product is 100% worth your bucks except if your are a very heavy bass lover like crazy bass, Normal bass like Linkin Park, Dj Snake and everythin are good.
",Positive
"Great earphones for call.
","I've been searching for a good earphone when I make calls. Esp international Internet calls. I always get told that the microphone was not good. So finally I came across this. And it's been working great so far.
",Positive
"both speakers stopped working
","I bought this device Sept 2018, after using 6 months both the headphone speakers stopped working, now not able to hear anything clearly.Request you to help me how to reach Sennheiser customer care for replacement / repair, this device is still under warranty. So please help.
",Positive
"Very Good ear phones with Microphone.
","Purchased from cloud tail.(authorised seller for sennheiser in amazon).Very Very fast delivery.One of the best ear phones with mic. if microphone is not required then should definitely consider other options such as  CX 180 produces the same sound quality with some less Bass and sony mdr-xb30EX with heavy Bass.Pros  Very good sound quality.  Micro phone  Bass is very good (Thumps after 10 - 15 hr usage)  2 years warranty (no brand dare to give it.)  Leather Case.Cons  Build quality is low no tangle free cable.  Price must be little bit less (very high more than twice that of CX 180 which has better build quality)
",Positive
"Up to 4000/- no one can beat it's sound quality .
","Sound quality amazing. I listened sounds boat , Sony, scullcandy , JBL, prices about 4000/- , it's sound quality  equal to these brands. Clarity is amazing. Even I bought 1more triple driver . Cx275s sounds quality is better than 1more. Reviewing after 6 months.
",Positive
"Works but not that great
","Kinda regret buying it. The sound quality is just normal. Tangles a lot. ive switched to AirPods so i hardly use them now.
",Neutral
"Brilliant earphones...
","I received the earphones within a day thanks to amazing Amazon delivery. I have used the headphones for 2-3 days and I am very impressed by its sound. Sennheiser never disappoints when it comes to sound, I have another model MX-170 and I have been using it for last 5 years and it still gives that good sound as ever. This has got a more than average bass to it, and the sound clarity and all sounds which are overpowered by bass can be heard. Mic also a big advantage, and its fits into the ear perfectly , no chance of falling out. There are multiple options depending upon ear size. The only bad thing is that it gets tangled very easily, and becomes a hassle to untangle.
",Positive
"Nothing better than this
","I just received these bad boys today let me tell u this by far these r the best pair I ever had I have used jbl Sony skull candy creative sound magic audio technicia but these headphones r where I stop its just going to be these here on.Crystal clear sound n those u love a good bass effect than man there r ur thingI ordered them yesterday n I received them today by far the best in the price range just close ur eyes n go for it 👍
",Positive
"Good but quality needs to be improved
","This is my 2nd Sennheiser ear phone.. the best ear phone ever. But it has very thin cable and it gets damaged after using 1 year.. Sennheiser should focus on the quality
",Neutral
"Excelent sound quality
","Sound quality is great. No outside noise. You will be in virtual world. But wire quality is poor. Unfortunately it does not support Redmi note 6 pro.
",Negative
"Good earphones....🔊
","Sound quality is good.....not extra ordinary.Almost noise canellation.Wire length is good.Light weight.Price is to high.Good thing is that two years warranty.
",Neutral
"Best under 2k !!! .No doubt 🙏🙏
","Completely loving this guys!!!. The balance between base and sound clarity is just awesome . U can listen vocals as well as suits for bass heads . Sennheiser never disappoints ✌️✌️. I have tried both sound magic and Sony MDR xb50 ap but overall Sennheiser is the best .
",Positive
"Connector is bad
","The earphones are great they have a good sound quality. But the connector that comes with it was not functional... when i use the earphones with the connector, the sound disrupts.
",Positive
"Best earphones for this price .
","Best earphones under this budget .Good build quality .Powerful bass.Comes with a leather pouch to carry it in .
",Positive
"Awesome Quality Product from Sennheiser
","The headset is awesome and when it's worn, you are isolated from the world.Only limitation is that the wires are not having any protection but I have been using it about a month rough it's able to withstand.The 3.5 mm jack seems to be wearing out the gold plating earlier than expected, I have to adjust the plug to get sound in both ear pieces other one works for all the time unadjusted.
",Neutral
"Product is really good. Sound is great and best in this range ...
","Product is really good. Sound is great and best in this range but build quality is not so great very thin wires(I fear that it may easily twisted and breakable), but good bag is included to carry it for you so no PROBLEM.
",Positive
"Best product at this price
","Best product at this price. I was initially reluctant as many people has posted poor bass to be one of the drawbacks. Thankfully I found the bass perfect for music.
",Positive
"Best Earphones Trust me!!
","Sennheiser is the best.. previously I have used a CX180 that was good but a little low on bass n without microfone.. But this CX275 fulfilled all d criteria for d best earphone in dis range.. better build quality.. decent sound quality n bass n awesome clarity.. Loved it♥️
",Positive
"Good earphones but not great
","I have recently purchased these earphones after doing lots of research. And after using it for 1 week I can only say that they sound fine, not great. And if you talk to someone via mic, then you need to hold the mic close to your mouth which is not suitable for long calls.
",Neutral
"Recommended but costly
","Good quality but 1 side stops working after sometime. 2 year warranty with replacement is good.
",Positive
"Sound quality is good enough and ears doesnt pain after prolonged use
","Sound quality is good enough and ears doesnt pain after prolonged use .Previously i used Skullcandy smoking buds which used to create pain after two hours of use. Although the noise cancellation for Smoking buds was better then this one. Comes with an awesome small carrying pouch .
",Positive
"Too good ...Price worthy
","Beautiful product which fulfills your soul and body with music, detaching you completely from any damn distraction and disturbances, either in train, in railway station, anywhere.
",Neutral
"Earphones for everyday user.
","Simply a value for money.Sound quality is excellent in this price range. Balanced sound... Doesn't feel like lowering of vocal during bass... Simply awesome... A must buy in 1700 price. Recommended for anyone who wants balnced sound nd bass is not that high as in sony in-ear earphones but it is a earphone for all the daily users. Wire quality looks a little bit fragile nd weak bt its not. Noise cancelling is awesome.. Blocks almost all sound from outside.
",Positive
"Value for money
","This bass driven earphone from Sennheiser may not be for everyone. But if you are looking for a lightweight earphone which has remote and mic as well as sounds decent, this is the one to buy
",Neutral
"The best earphones!
","Hands down to this brand. This is one hell of a earphones I'll ever own. Starting from the package to the material quality to the sound quality nothing could have been more perfect than this. Every penny was worth it! Thankyou so much Sennheiser for producing such quality products and setting a benchmark!
",Neutral
"A good earphone at quite reasonable price.
","it's really good. But jbl t150 a gives almost same quality at considerably lower price (this one is slightly better though). So if u are looking for value for money go for jbl t150a (available at 899 when I ordered this ) or else this is fabulous.. Specially the ear buds are super comfortable (much more comfortable than jbl ones). The wire is a little thin but sturdy. The material looks a bit sticky. Better keep it carefully if you don't plan  use  it for a long time. (one of my older Nokia headset suffered from that. Got tangled and rubber melted and ultimately unusable).But in short if you are looking for a good earphone with mic in mid range budget this is a solid option.
",Positive
"Microphone doesn't work
","Microphone does not works. Can hear callers voice but peer caller does not hear our voice. So it's only for music listening
",Neutral
"Amazing product
","Sennheiser only word is enough for about quality if you got original oneI m using it from last 6 years u ll never be disappointed with this productOnly the thing is it was delivered late as i already mentioned my office time and they deliver me 2 hour late
",Positive
"Awesome product but costly
","Sound is awesome.Wire management is little bit hectic because of its rubber coat.Not volume up down button. but You can find this feature in other products with in this range.Leather bag quality is really good.
",Positive
"Not durable at all.
","How do I get it replaced? It's been 3-4 months and my earphones are damaged. Even without any physical damage to the earphones, the sound in on eear piece is almost gone. Please help me out.
",Neutral
"Too good...
","I'm writing this review after 3 months of purchase.Sound quality is awesome. Ear buds hold the position very well. Length of the cable is very convenient. The pouch and the box look trendy and the extra pairs of ear buds provide extra fitting options. But one less star for the cable which needs to be handled with utmost care to avoid tear.
",Positive
"Best Earphones with 2yr Warranty - Go For It
","Sennheiser CX275s is really awesome. Although at first look you might see that wires are very thin but they are sturdy. Got this for only 1299 INR. And if you really want to test these earphones listen below song.The Weeknd - The Hills @ https://www.youtube.com/watch?v=yzTuBuRdAyA - Feel the real bass......
",Positive
"Satisfactory and recommended for good sound quality, noise cancellation, comfort.
","Sound is better at this range compared to other brands. But the rubber at base of head phone, jack are started tearing
",Neutral
"Really good product for the price.
","Really good product for the price. The bass is not that great though. I use it at office with vnet phone along with Uni4 RJ9 To Single 3.5mm.
",Neutral
"Great support from Amazon and cloudtail
","Excellent earphone which I have received today as an immediate replacement for the faulty one sent  by cloud tail two days ago, love the  great bass and nice clear sound enjoying the new one thanks amazing amazon atlast satisfied with my budget earphone☺️☺️
",Positive
"No Bass For Price
","Expected more for this price. But there is no bass effect, sound is crispy and loud. That's it.Product is genuine, but didn't provide bass effect. I have recently used Philips 600 rupees headset which is having more bass than this.But noise cancellation is top class. When listening can't even hear other people talk!!
",Neutral
"Sound Clarity is really very good. Noise cancellation is good but not the 100% ...
","It was a really worth Headset which im using for my One plus One phone. Its worth every penny which you pay, sound clarity is really very good. Noise cancellation is good but not the 100% noise cancellation. When im in skype call, i do hear every other noise as well apart from the person voice!!! But really good product. Im loving it.. Hearing the Music in this head phone is really a very good experience. And more over 2 years warranty i bet no one would provide for this cost.And if anything ever happens to your ear phone there will be replacement with the entire new one from the company itself(as 2 years Warranty period), which till now i haven't seen from any other company would do.
",Positive
"Perfect
","Everything mentioned in the product description is perfectly true -- what do you want more? One thing I should mention is wire is thin with a Capital T, but it has two year of warranty so you don't need to worry thinking that ""I might break the wire"" and something like that.....
",Positive
"Less quality less durable
","In present if consumer buying high cost product then they need the durability and flexible quality in all condition. The said earphones wires quality is bad, very thin & very sensitive... Despite the good quality sound we cannot use it freely.
",Negative
"Good sound quality. Bad build quality
","The audio is pretty good. Bass is average. But the built quality is really bad. After 6 months the insulation is worn out. I'm not a hard core user. The product is just bad.
",Negative
"Good one for bass
","Bass lovers would love this. It has a good sound quality or I say best at its range. You cannot compare this with bose or beats, but this is far better than JBL, Sony, apple earphones (compared to this price band)
",Positive
"Clarity King
","If anyone want clarity and balanced sound output go for it. Sennheiser signature sound. Love it. Mic quality is average. Material is OK type, wires do tangle a lot. If u just want bass, search for other earphones.
",Positive
"Thumping bass and awesome sound clarity
","Good Bass and awesome noise cancellation. But the wires not tangle-free.Sound clarity is very good. Produces high quality sound even at the high volumes.Initially I thought Senheiser will not produce good bass. But these earphones are out of the ordinary.It has a perfect balance between bass and the chores. Bass is not killing other sounds.The mic also works well with my OnePlus One.... Go for it.Value for money product!!!!!
",Positive
"Best sound quaility and mic input
","Best earphones in this range. I use them as my main earphones and they haven’t backed down , most of the problems I have faced using earphones is , the right earpiece gets damaged and won’t work. It’s been about 2 years and I haven’t experienced that problem in sennheiser till now.
",Negative
"Unique product
","I am using this product since last 6 monthsAnd this the best product that i had been ever  use beforeThough i am a rough user n used to travelling at least thrice in a week ,, this product gives me good reliability and awesome noise cancellation. I love this product
",Positive
"No bass, so no from me!
","not for bass lover. I am returning it .I will not buy any earphones in future based on reviews. It's better to personally use a one and then buy it. Literally MI basic earphones are better than this. Because considering the price, it's not upto the mark.
",Neutral
"Rich sound, bass 4/5
","Bass quality not that much good, else very good product, after using 4-5 month somewhat colour did not stay as expected, else very good for daily use, gym, running...
",Positive
"Disappointed with these earphones at this price
","I spend about 10 min with these earphones,after the immediate delivery by Amazon.I didn't like the sound quality at all,it's like disturbing music, can't able to spend more than 10 min,I call for a immediate replacement about this product,let's wait for the replacement product
",Neutral
"Automatically changing phone volume
","Earphones have started to automatically control my phone's volume, increasing or decreasing the volume on their own. The return window has closed so I cannot even return these expensive earphones. Good sound quality made obsolete because of this error! This error disappears when I remove the earphones.
",Negative
